City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san jose de mayo,-34.0937,-56.8078,18.57,88,100,4.8,UY,1683320553
1,ilulissat,71.7088,-51.1079,-8.64,89,100,2.07,GL,1683320555
2,cobija,-11.3583,-69.6217,25.78,92,76,0.61,PE,1683320555
3,kuanda,58.2037,117.3751,-5.54,87,91,4.65,RU,1683320555
4,usinsk,68.7204,59.5122,-7.53,95,99,3.02,RU,1683320555
5,college,72.0395,-155.5592,-6.3,87,48,3.04,US,1683320556
6,manacapuru,-1.82,-61.3247,26.13,93,88,1.67,BR,1683320556
7,kitangari,-10.5622,39.2899,19.11,92,93,1.28,TZ,1683320557
8,jamestown,37.5139,105.7303,12.43,66,99,3.66,CN,1683320559
9,ust'-kut,-11.7473,13.5259,27.6,74,100,0.82,AO,1683320559
10,vorgashor,-17.2963,-5.6471,23.11,70,73,9.22,SH,1683320559
11,papatowai,64.8985,140.4983,-8.87,91,99,2.27,RU,1683320560
12,grytviken,56.8134,105.5506,2.28,88,100,2.99,RU,1683320560
13,ribeira grande,18.3854,-96.4559,36.8,29,54,0.73,MX,1683320561
14,iqaluit,29.3409,-83.1644,29.5,60,98,3.45,US,1683320561
15,dalmatovo,66.8535,134.2692,-6.42,80,41,0.92,RU,1683320563
16,fort mcmurray,26.714,69.9679,29.18,48,70,4.58,IN,1683320564
17,albany,-34.8368,149.9645,2.61,85,74,2.96,AU,1683320565
18,al muwayh,59.6582,-77.8988,-0.59,93,92,5.67,CA,1683320565
19,christchurch,65.5125,99.4496,-0.36,81,100,8.99,RU,1683320565
20,bijar,58.0735,-72.0054,14.33,40,13,6.93,CA,1683320566
21,talnakh,57.2657,-97.5697,9.09,72,3,3.25,CA,1683320566
22,shimoda,56.4928,63.0631,12.15,39,99,2.45,RU,1683320567
23,ancud,30.7695,-9.6648,19.97,61,99,3.97,MA,1683320567
24,karratha,32.666,70.0267,15.29,70,89,0.54,PK,1683320567
25,taiohae,18.2474,81.4127,26.35,79,100,0.76,IN,1683320568
26,punta arenas,56.67,-110.323,23.05,28,0,4.97,CA,1683320569
27,persembe,-20.3624,-50.7778,25.04,58,13,1.25,BR,1683320569
28,carnarvon,56.5252,56.5544,12.6,42,96,4.76,RU,1683320569
29,novoarkhanhel's'k,-25.5756,151.5229,14.29,90,0,0.84,AU,1683320570
30,thenia,22.0282,41.3742,26.72,22,60,1.86,SA,1683320570
31,port alfred,6.0651,126.3644,28.42,76,97,4.14,PH,1683320571
32,lebu,-5.0943,121.636,27.45,78,99,1.42,ID,1683320574
33,inekar,-27.3298,-57.1147,17.6,96,100,2.41,PY,1683320575
34,kapa'a,36.1114,47.4121,10.33,33,3,1.66,IR,1683320576
35,costa teguise,-17.2824,19.9488,18.37,41,2,2.59,AO,1683320576
36,san jose del guaviare,3.078,154.5026,28.72,75,100,1.25,FM,1683320577
37,shingu,64.3442,40.1186,-2.47,88,87,2.68,RU,1683320577
38,anadyr,23.6453,110.486,23.53,96,40,1.53,CN,1683320577
39,acarau,8.6729,-72.4191,34.53,45,90,2.51,VE,1683320578
40,vytegra,53.9675,40.3677,3.82,84,100,2.89,RU,1683320578
41,tromso,25.5622,99.7827,11.61,92,2,1.54,CN,1683320578
42,nikolayevsk-on-amure,-17.0806,27.0663,16.3,49,0,1.11,ZM,1683320579
